library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
Reactome_2022,CRMPs In Sema3A Signaling R-HSA-399956,3,3,0.00013544,0.0016368,0.5916865306122449,False
GO_BP_2023,Regulation Of Microtubule-Based Process (GO:0032886),3,3,0.00034045,0.0023681,0.5916865306122449,False
GO_BP_2023,Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),3,3,0.00037844,0.0024456,0.5916865306122449,False
GO_BP_2023,Calcium Ion Import (GO:0070509),3,3,0.00061329,0.0029504,0.5916865306122449,False
GO_BP_2023,Smooth Muscle Cell Differentiation (GO:0051145),3,3,0.00060432,0.0030697,0.5916865306122449,False
GO_BP_2023,Chromatin Organization (GO:0006325),3,3,0.0014894,0.0047063,0.5916865306122449,False
GO_BP_2023,Regulation Of Lipid Transport (GO:0032368),3,2,0.0016015,0.005883,0.5931829444444445,False
Reactome_2022,"Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741",3,2,0.0018603,0.0064161,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),3,2,0.0013794,0.00668,0.5916865306122449,False
GO_BP_2023,Proteasomal Protein Catabolic Process (GO:0010498),3,2,0.00017193,0.0068407,0.5916865306122449,False
GO_BP_2023,Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:0097192),3,2,0.00035123,0.0070959,0.5916865306122449,False
GO_BP_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),3,2,0.0019907,0.0076431,0.5916865306122449,False
GO_BP_2023,Response To Retinoic Acid (GO:0032526),3,2,0.0016284,0.007987,0.5916865306122449,False
GO_BP_2023,Regulation Of Dendrite Morphogenesis (GO:0048814),3,2,0.0035503,0.010398,0.6472500555555556,False
Reactome_2022,P75 NTR Receptor-Mediated Signaling R-HSA-193704,3,2,0.002012,0.010651,0.6472500555555556,False
GO_BP_2023,Cardiac Atrium Morphogenesis (GO:0003209),3,2,0.0022999,0.011214,0.5916865306122449,False
Reactome_2022,Hedgehog On State R-HSA-5632684,3,2,0.00061009,0.016295,0.5916865306122449,False
Reactome_2022,Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,3,2,0.001668,0.017866,0.5916865306122449,False
GO_BP_2023,Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),3,2,0.0011651,0.017997,0.6472500555555556,False
Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,3,2,0.0013326,0.019433,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of Osteoblast Differentiation (GO:0045668),3,2,0.0035364,0.019716,0.5916865306122449,False
GO_BP_2023,N-glycan Processing (GO:0006491),3,2,0.0023198,0.020939,0.5916865306122449,False
GO_BP_2023,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)",3,2,0.0015402,0.021307,0.5916865306122449,False
GO_BP_2023,Regulation Of Transforming Growth Factor Beta Production (GO:0071634),3,2,0.0034796,0.021632,0.5916865306122449,False
GO_BP_2023,Positive Regulation Of DNA Metabolic Process (GO:0051054),3,2,0.0010429,0.025283,0.6472500555555556,False
GO_BP_2023,Protein Targeting To Lysosome (GO:0006622),3,2,0.002618,0.026708,0.6472500555555556,False
GO_BP_2023,Positive Regulation Of Mitochondrion Organization (GO:0010822),3,2,0.00016227,0.034248,0.6420865333333333,False
Reactome_2022,Death Receptor Signaling R-HSA-73887,3,2,0.00027385,0.036624,0.6420865333333333,False
GO_BP_2023,Positive Regulation Of Intracellular Protein Transport (GO:0090316),3,2,0.00051875,0.043779,0.5916865306122449,False
GO_BP_2023,Positive Regulation Of Ossification (GO:0045778),3,2,0.0014899,0.045691,0.6472500555555556,False
