TRAIT,GENE,SYMBOL,DESCRIPTION,GENE_TYPE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT,IN_CHR16_REGION
mALPS,100506581,C16orf95,chromosome 16 open reading frame 95,protein-coding,16,87326404,87361468,89,8,30619,2.4226,0.0077042,0.22548943585209005,1.0,False,False,True
mALPS,79791,FBXO31,F-box protein 31,protein-coding,16,87352942,87435708,132,13,30719,1.6005,0.054743,0.4692883661639963,1.0,False,False,True
mALPS,23174,ZCCHC14,zinc finger CCHC-type containing 14,protein-coding,16,87429852,87535870,126,13,30776,1.3419,0.089819,0.5486317815013405,1.0,False,False,True
mALPS,81631,MAP1LC3B,microtubule associated protein 1 light chain 3 beta,protein-coding,16,87413157,87448380,42,6,30692,1.2519,0.1053,0.5712574646226415,1.0,False,False,True
mALPS,57338,JPH3,junctophilin 3,protein-coding,16,87625441,87741762,432,45,30586,1.1432,0.12647,0.5973805424344667,1.0,False,False,True
mALPS,54758,KLHDC4,kelch domain containing 4,protein-coding,16,87720239,87809603,319,19,30813,-0.26195,0.60332,0.8699842866201649,1.0,False,False,True
left_ALPS,100506581,C16orf95,chromosome 16 open reading frame 95,protein-coding,16,87326404,87361468,89,8,30619,2.0202,0.021679,0.35348568637992833,1.0,False,False,True
left_ALPS,23174,ZCCHC14,zinc finger CCHC-type containing 14,protein-coding,16,87429852,87535870,126,13,30776,1.5873,0.05622,0.48330316249409544,1.0,False,False,True
left_ALPS,79791,FBXO31,F-box protein 31,protein-coding,16,87352942,87435708,132,13,30719,1.5441,0.061285,0.49880780089485455,1.0,False,False,True
left_ALPS,81631,MAP1LC3B,microtubule associated protein 1 light chain 3 beta,protein-coding,16,87413157,87448380,42,6,30692,1.5091,0.065642,0.5102637585324232,1.0,False,False,True
left_ALPS,57338,JPH3,junctophilin 3,protein-coding,16,87625441,87741762,432,45,30586,1.3813,0.083589,0.5505313175235337,1.0,False,False,True
left_ALPS,54758,KLHDC4,kelch domain containing 4,protein-coding,16,87720239,87809603,319,19,30813,-0.42019,0.66283,0.8928977832002366,1.0,False,False,True
right_ALPS,100506581,C16orf95,chromosome 16 open reading frame 95,protein-coding,16,87326404,87361468,89,8,30619,2.4969,0.0062643,0.2178850502868069,1.0,False,False,True
right_ALPS,79791,FBXO31,F-box protein 31,protein-coding,16,87352942,87435708,132,13,30719,1.4275,0.076713,0.5357367804131599,1.0,False,False,True
right_ALPS,23174,ZCCHC14,zinc finger CCHC-type containing 14,protein-coding,16,87429852,87535870,126,13,30776,0.82779,0.2039,0.6820788709084221,1.0,False,False,True
right_ALPS,81631,MAP1LC3B,microtubule associated protein 1 light chain 3 beta,protein-coding,16,87413157,87448380,42,6,30692,0.73178,0.23215,0.7070320565595717,1.0,False,False,True
right_ALPS,57338,JPH3,junctophilin 3,protein-coding,16,87625441,87741762,432,45,30586,0.52895,0.29842,0.7518644490586933,1.0,False,False,True
right_ALPS,54758,KLHDC4,kelch domain containing 4,protein-coding,16,87720239,87809603,319,19,30813,0.14634,0.44183,0.8188076196767964,1.0,False,False,True
