SNP,WMH,left_ALPS,mALPS,right_ALPS,max_PIP,n_trait_credible_sets
rs12921170,0.241045737153799,0.0169243234715269,0.0166355704082213,0.0184535257441986,0.241045737153799,4
rs4843555,0.150215233741993,0.106414435538309,0.109828710127245,0.0790549966584109,0.150215233741993,4
rs4843553,0.149491832812968,0.0685843889388549,0.0498989318392691,0.0284950128517406,0.149491832812968,4
rs12149643,0.147400800253163,0.10209111405401,0.0915558498594837,0.0571373596088143,0.147400800253163,4
rs12920553,0.137424662777805,0.016858028235647,0.0164244475947752,0.0181118599803293,0.137424662777805,4
rs4843552,0.115347701860477,0.0967061147399865,0.0938637168649371,0.0684527657841759,0.115347701860477,4
rs9308343,0.0692355788479946,0.0137873654377496,0.0190058798138549,0.0256645478276968,0.0692355788479946,4
rs4240788,0,0.0141204393594049,0.0363801040162681,0.0791786139033621,0.0791786139033621,3
rs9933149,0,0.0382397897188892,0.0481387231870748,0.036117504534135,0.0481387231870748,3
rs12711474,0,0.0108377817789538,0.0230327051319292,0.0463237288612665,0.0463237288612665,3
rs8055080,0,0.00855114926929379,0.0190512911265874,0.0454547798355381,0.0454547798355381,3
rs4240787,0,0.00672439608529285,0.0135357379206463,0.0441951638028666,0.0441951638028666,3
rs9937293,0,0.0412934934401108,0.0393732593930376,0.0221184596264281,0.0412934934401108,3
rs4843227,0,0.0324220188873067,0.035343111574224,0.0230240391812838,0.035343111574224,3
rs4843560,0,0.0326930359738111,0.0350698568145756,0.0224200751715613,0.0350698568145756,3
rs4843226,0,0.0320859029191861,0.0347301695228169,0.0231360866675361,0.0347301695228169,3
rs9308341,0,0.0278581878242367,0.033022684016588,0.0247730605163674,0.033022684016588,3
rs56023709,0,0.0319548529765965,0.0326072984012551,0.021891388129862,0.0326072984012551,3
rs12711473,0,0.0246225764631297,0.0303092116465324,0.0259484092844093,0.0303092116465324,3
rs4843559,0,0.0261402496189652,0.0292108983566991,0.0215278240443346,0.0292108983566991,3
rs4843558,0,0.0249710562009231,0.0268710922260849,0.0194609464169248,0.0268710922260849,3
rs12711472,0,0.0236825899097924,0.02551021418596,0.0193158219685464,0.02551021418596,3
rs4843549,0,0.00696546204298609,0.010298359218451,0.0243930574033691,0.0243930574033691,3
rs4843554,0,0.0127430459330372,0.0175141753984632,0.0242323857532254,0.0242323857532254,3
rs35408318,0,0.0125188963645549,0.0138759104446234,0.0184052481976104,0.0184052481976104,3
rs6540017,0,0.0131022017815631,0.0174856868464145,0.01481925482804,0.0174856868464145,3
rs11640181,0,0.00972007913034057,0.0107749207868456,0.0172445844401531,0.0172445844401531,3
rs12921714,0,0.006976186191201,0.0120635641210951,0.0154109539214392,0.0154109539214392,3
rs6540016,0,0.00596697747064734,0.0104725548999108,0.0145178690944598,0.0145178690944598,3
rs9308342,0,0.00618300271244787,0.0104368047256338,0.0128376102275912,0.0128376102275912,3
rs7185688,0,0,0.0107122401641636,0.0189452899310153,0.0189452899310153,2
rs4240791,0,0.0549225004605475,0,0,0.0549225004605475,1
rs7203251,0,0,0,0.012276261019277,0.012276261019277,1
rs4240789,0,0.00997636456699291,0,0,0.00997636456699291,1
rs11860417,0,0.00757779654274471,0,0,0.00757779654274471,1
rs4843556,0,0,0,0.00700434346127077,0.00700434346127077,1
rs4240790,0,0.00607650816936278,0,0,0.00607650816936278,1
rs4240792,0,0.00579890294190244,0,0,0.00579890294190244,1
